NAMA,GENDER
ORIZA ZEA SABRINA,P
AYU AGA PUTRI,P
SUSYANTO,L
YAHUDIN,L
WAGIMAN,L
NARYO SUMPENO,L
HERLINA MULYA SARI,P
IDUWARSYAH,L
ACHMADSYAH PUTRA,L
LISNAWARTI,P
ARISANTI,P
EKA WINARTI,P
ENI NUGRAENI,P
AGUS RUSDIANTO,L
ARIF HIDAYAT,L
RINI SAFITRI,P
MERI ANGRAINI,P
M.EKO,L
SUARDI,L
RAJIMAN,L
NOVI MUTMAINAH,P
ARIEF PRAWIRA,L
AFRIDAYANTI,P
MISTIANI,P
M. YUNUS,L
NURMA WATY,P
TRI ASTUTI,P
RIRIN DEBORA BUTAR BUTAR,P
RADIMAN,L
HENDRA HAMONANGAN NAPITUPULU,L
IRMA YUNITA HARAHAP,P
MEIZY ANTHONIE,L
SUPARYANTO,L
SUPRIHATIN,P
DENI SALEH,L
AAN WAHYUDI,L
FRANSISCA ARSINTYA IKE PUSPITA,P
LUTFHIE ANDRIAN,L
SANTIKA,P
V. FREDY ADHY WIBOWO,L
LINA KRISTIANI,P
SURIP,L
SAWIYEM,P
AYU SURYANI NURHASANAH,P
RADI YANTO,L
ERNAWATI,P
RIA EKA NOVITA SARI,P
SUKISNO,L
LASMANA KUSUMA,L
INDRA ALIANA,L
SUIS TUGINANTUN,P
MIKO OKARNA,L
ZULKARNAIN,L
RELIN YULANDARI,P
RUSMIATI,P
TUKIRAN HP,L
AFFIF NUGROHO BUDIARTO,L
WINDI ASTUTI,P
RUDI PRABOWO,L
NURDAINI,P
MUHGNI SODIKIN,L
SAMSUL HIDAYAT,L
CICA RODIYATI,P
BERNADUS TONY CHRISTIONO,L
VERONICA RATNA APRILIA,P
ANANG SURYANTO,L
SUPARDI,L
NANA SURYANI,P
YOHANES GINANJAR WIDIANTO,L
YASHINTA DEWI RIEL UTAMI,P
VALENTINA MAHARANI INDAH PRATIWI,P
ELIZABET PAMUNGKAS YULIATI,P
NOVRIYADI YEHEZKIEL SIMANJUNTAK,L
OLOAN SIMANJUNTAK,L
AMOY SIMAMORA,P
APANDI PARWANTO,L
SUKAMDI,L
JUMINTEN,P
SUPARNO,L
RITA ARMA,P
RIZKI INDAH PRATIWI,P
YUSLAN,L
WAGIYEM,P
YUSTINA MUSLIM,P
ISMAN,L
YUTYA MAYDILA,P
TUGI ASTUTI,P
AGUS SUTRISNO,L
PURWANTI PRIHATININGSIH,P
PANGIHUTAN PANJAITAN,L
CHRISTIAN PANJAITAN,L
FITRI HARIANI,P
ZEVANI OLIVIA P,P
GRATI FIONO  S.PKP,L
URANG WINDU,L
SUPARMI,P
CAHAYA ARWANA,P
KAMIJAN,L
WASTINAH,P
SAROSO,L
KAWIYEM,P
NANANG SUTEJO,L
INDRAYATI,P
DEWI DARYANAH,P
ALI MULYADI,L
YATIMAN,L
MARSEH,P
HARYANTO AMANU,L
BERTI HERLINA,P
PARMIN,L
SUHARMI,P
MAHYUDIN,L
CKRISNA HANGGARA,L
FITRA ARDIYANSYAH,L
TITIK SUGIARTI,P
JAMIYO,L
SUPARTINI,P
HAYATRI WULANDARI,P
SUPENO,L
FAUZI RAKHMA,P
LIDIA PERTIWI,P
TAUFIK HIDAYAT,L
AGUSTINUS HARGO PRAMUDYA,L
MARIA PRIMA SOTYANING PRAMUDYA,P
GABRIELA KINANTHI CAHYANING PR,P
YUSTINA WIDJI MIARTI,P
RIDHO FADHOLA AKBAR ROHMAD,L
MUHAMAD ROHMAD,L
ANANG HUSEIN RAHMAT SAPUTRA,L
SUWARTINI,P
MARIA DIAJENG RAHMAD SAPUTRI,P
KUKUH DHINA RAHMADILLA,P
ECI MURTI NINGSIH,P
HUZLIM,L
D. HAMDANI. NK,L
EUIS NUR FARIDAH,P
SUPARTI,P
HENDRA PARTIKA,L
AHMAD SOBARI,L
SRI RAMADHANI SYARMA,P
BUDDY SUSETYO,L
GUSTI RINI SETIAWATI,P
RITATI,P
SENA WIRABUWANA,L
WIDOJONO,L
FRISMA AMBARWATI,P
GIRANG FITRIA PRATIWI,P
SEPIARNI,P
F. SUYANTO,L
GALUH ARUM ADRI,P
RUSNAYANTI,P
RAHMAD IRAWAN,L
SEPTIAN,L
RAJIMAN,L
ELLY SULIATI,P
AGUNG NUGROHO,L
ANDRIAS WIJAYA,L
TUKIMAN,L
WINARTI,P
SUPRIYO,L
YATINI,P
MUJIONO,L
PARTINEM,P
KAROLIN OKTARIA,P
EMIWATI RUSNI,P
AMELIA REGA PURNAMA,P
NGADIRAN,L
JUMIEM,P
SOFIANSYAH,L
IKHSAN RIZQI PRATAMA,L
NUNUNG TASMINI,P
KHUSNA ADINA KHOLIS,L
SUMARNO,L
SUKATMI,P
FITRI HIDAYAT,P
TUMILAH,P
HERI SUYANTO,L
QURROTUL AINI,P
ROHANA,P
PETRUS PRANTIMAN,L
AGATHA PRADNAS SWASTIEKA WULANDARI,P
EMY LIANA SULISTYANINGSIH,P
CHRISTIANA BARIAH,P
AGUNG MULYANA,L
LILIS MAINI,P
SISWANTO.SE,L
FENNY FEBRIANI,P
SLAMET DARMADI,L
SUDARTI,P
BARON FERDIYANTO,L
YATIM,L
MAIMUNAH,P
CITRA KURNIA ANGGRAINI,P
IHSAN KURNIAWAN,L
SUMARNO,L
KUMIJEM,P
FAUZI,L
SUHARNI,P
BUDI SUPRAPTO,L
PONIJO,L
SUKARJO,L
ETA APRIANTI,P
BIMA ALLIFIO JORDHY,L
ARI RAMADHAN,L
SUSI MARTINA NABABAN,P
SURATMAN,L
KASMINI,P
DEVIN MAHESA PRATAMA,L
SUJILAH,L
GHEA AGATHA JOJOBA,P
FITRI HERAWATI,P
YULIA ARMIATI,P
SUMARMI,P
MARDIYANTO,L
ALI BAHMADA,L
SEFRI TANTO,L
DARMAWATI,P
SUJONO,L
AMINAH,P
SUROTO,L
MUSYAFA,L
RINA YUNIARTI. SE,P
FLORENTINA DIAN KUSUMA WARDANI,P
AGUS AHMADI,L
HERO YUDHA FIRDAUS,L
PUDIN,L
RUBINAH,P
ADEK SURYANI,P
SUPRIYANTI,P
HELMI,L
SUMANDRI,L
ENDANG SUSILAWATI,P
SURADI,L
EMA SUARSINAH KASTUBI,P
BASRI,L
LELA WATI,P
NURYADI,L
JAMIYEM,P
ISOH,P
GOPAR,L
NURTINA,P
JANAH,P
KUMALA SARI,P
ADI FRAMTISNA,L
YOSMAN EFFENDI,L
EKA MARLINDA,P
FIRDAUS,L
SUJIANTI IRBAM.SHI,P
KHELSTIN SIREGAR,P
SRI MARDIANTI,P
M.REZA OKTANANDO,L
BUYUNG AHMADI  S.PD,L
HENNY SULASTRI  S.PD,P
MARDA WANGSA,P
SITI AMINAH,P
FURI MAYANG M.,P
ROMMY ARISANDY,L
SUSTRI,P
SUDIRMAN,L
NURMIMI AZRINA,P
GUNUNG SILITONGA,L
HARI TRIPANTO S.,L
MASLINA SIMANJUNTAK,P
ANDI GUNAWAN,L
ARSYAD HAMZAH,L
M. RICO JUNI YANSA,L
YUSMARTATI,P
ZAHRA NOFRIDAYANI,P
RADEN WIJAYA,L
MIDA HAYATI,P
JUMIRAN,L
ZUBAIDAH,P
MIHAR,P
YETA PRASNI,P
EKI ANDRI ANI,P
GALEH CANDRA WIDIASWORO,L
WENI PUSPITA,P
SELYANA FEBIOLA. A,P
SUNARTO,L
SUGIATI,P
DIAN ANGGRAINI,P
M. SIMANJUNTAK,L
OTRI MARDANI,P
IMAM WAHID,L
MARDIATY SY,P
DJAMALIS,P
RIKI AMANDO,L
FERONICA APRIYANTO,L
RATNAINI,P
CECEP WAHYUDI,L
RAHAYU ELIYAH,P
ADISTI MARIA TAMPUBOLON,P
KRISTIYANTO R,L
TINA,P
ANITA PUSPITA SARI,P
DARMAYANTI,P
MIETHRA TANJUNG,L
SYAFARUDIN,L
RIGE GIETRA SAHYUDI,L
TUDISMAN,L
RIDU LIMA,P
HENDRI,L
HASRATUL AINI,P
AGUNG KURNIAWAN,L
FEBRI PRIA UTAMA,L
RUWAIDI,L
PUJA TRI KARTIKA,P
SUKARTI,P
GUNAWAN,L
DARTI,P
ARPALIN,P
SUNAR JAYA,L
SURYANI,P
AULIA NURHAYANI,P
ERVI YULIANI,P
EVAN YULISTIAN,L
RUDI,L
SUKIANTO,L
RENKI MANTO,L
POLI,L
ARDINEN,L
SUNYA WARTI,P
SELVIA,P
RUSDI EFENDI,L
SUSYANTO,L
VICTORIA  A. MD,L
FAIZAL SAPUTRA,L
RAHIMAH,P
JUNAINI,P
IWAN SAPUTRA,L
NAWAWI,L
BAYU ANDRE ANSYAH,L
RIAN HARIANTI,P
NASRAWATI,P
SARWIN,L
NGATILAH,P
FEBRIANSYAH,L
HULIMAH,P
Mesi,P
ZULFAHMI,L
NURHANAWATI,P
DEMARINA CLAUDIA,P
RIKHA YULIANTI ARSYAD,P
APRIANI NOVENTI,P
SUGIARTI,P
ARISON.S,L
SUGIARTI.S,P
SAIFULLAH,L
FAHRULLAH ANDRIANSYAH,L
HEZNI NOVLINA,P
MAS'ULLAH ANDRIYANI,P
H. FIAOLYA DJHIMO,P
HENDRI FIRMANSYAH  S. PD,L
AZIZAH,P
BUDIMAN,L
JULIYANTI IKKA PUTRI,P
SUDIYEM,P
JONRI DAVID DAMANIK,L
APRIANITA QEEN MONAEVI SIMANJUNTAK,P
IIN AGUSTIAN,L
RORI SEPTIAWAN PUTRA,L
ROSMIATI ZAINI,P
RIZKI ARMITA EKSANTI,P
TAMBUN SIALA NASUTION,L
FAHRU ROZI NASUTION,L
KASIATUL AINI,P
ADE IRMA SURYANI NASUTION,P
ISA HUSENDRI,L
DESSI YULIANTI,P
ARPAN SYAHRUDIN,L
SAHANI,P
TASTI LONSI,P
MOHAMAD NURZAINI,L
MEDI,L
ROMI VERDI ANTO,L
RATNO,L
RATNA WILIS,P
BENI WINARTO,L
LISDAWATI,P
DETARIA SUNATA,L
SUKINEM,P
Yuni Hartati,P
NURAHMAD,L
ZULKARNAINI BURHAN,L
YUSNAINI,P
RICO PUTRA OKTADITYA,L
TRIYONO SUPRIYADI,L
NETI SUPRIYANTI,P
AMIRUDDIN THAUFIEK,L
ELWAN TAUFIQURRAHMAN,L
CAHAYA WATI,P
MULYATI,P
SAPTONO,L
AHMAD JONAIDI,L
DWI SORAYA INDAH RAHMADANI,P
SUSAN DRAWATI,P
CITA RETNO WULANDARI,P
AIDIN,L
ENDANG SAPUTRA,L
PAHRUL ROZI,L
RUSNI,P
ALDRY MEIDIKA PRANATA,L
DENNY ARDIANSYAH,L
DESSY ARRISANDI,P
CINDY EKA PUTRI,P
BIRMANSYAH,L
NANI RAHAYU NINGSIH,P
DUL RAUF,L
SITI SARYAT,P
FERI ADE UTAMA,L
DANI AGUS WIJAYANTO,L
SLAMET,L
FITRIANA DEWI,P
SUMIRAH,P
BOY ARI SANDI,L
MARISYA LISTIANA,P
SUSANTO,L
SUSANTI,P
YUSRIZAL,L
YOGA OKTA PRATAMA,L
NIZ SUHAINIAH,P
WARSITO DJOKO SANYOTO,L
HERRI YODIANTO,L
GUSTI ARIANI,L
PUTRA MAHARDIKA,L
INDAH DAMAYANTI,P
HERIYANTI,P
VENZI SEFRIANDI,L
AHMAD KORI,L
DAVID AFRIZAL FERNANDO,L
NAN SALIAH,P
SAPRUDIN,L
WILLY SYAFTIAN,L
RATNA WILIS,P
SUCIPTO  SE,L
ZULYANA,P
PUSPA ARUM KUSUMAWARDANI,P
FERI EFRIYADI,L
SAPARIO,L
RANGGA BANYU PRASETYA,L
DRS.WAKHIDUN.M.PD,L
KESUMAWATI,P
SUROYA AJISOKA HUFFATIRRIZQIE,P
ENUR LAILI,P
HORINA,P
DEDE SUGIARTO,L
YAPASMEN BOERHAN DAHRI,L
EVARINI,P
MERRY ANITA SARY,P
MIRNA YUNITA  MPd,P
RASULI,L
RATDIANA,P
IRLAN SUKI,L
ERVANI,L
MUHAMAD SLAMET,L
AGUS SIHOTANG,L
A. SIHOTANG,L
LISBETH SIMBOLON,P
KRISTIA MONICA SIHOTANG,P
DONY,L
KISTON SILITONGA,L
SORTA ARITONANG,P
DESY,P
ANDREAN CANDRA LESMANA,L
NANANG EGA LESMONO,L
DARNI,P
JONI,L
CANGGIH NOOR ZAMAN,L
HAMBALI,L
AJIAH,P
DARMAWAN SANUSI,L
DEWI PUTRI MONICA,P
YOSI ISNAINI,P
YULYANI,P
SARDI LESMONO,L
LIYO WALDI,L
KARYAWANTO,L
MILDA FITRI D,P
MUHAMMAD AIDIL KURNIAWAN,L
PUTRA NOPRIANTO,L
ADI ATYA,L
MONICA CAHAYATI,P
SAFRIZAL,L
DIMAS ADE SEDAYU,L
DOVAN TAMPUBOLON,L
RUBIYEM,P
KARTINA BAGINDO NURDIN,P
SUSI HARTI,P
AINA RIFKI INGGARNI,P
WASILAH,P
YUSNIATI,P
GUSTI HERIANI,P
WANDA RISKI RAHAYU,P
ARIF NOVENDRI,L
ERINA ANGGRAINI,P
RIKI PUTRA IMAN ABDULLAH,L
RAHMAD PUTRA,L
FARTINI WULANDARI,P
NINUK RIADANTI,P
SIWI ESTRI PANGESTU,P
WAWAN,L
SUSAN NIA,P
GAJAH MADA,L
SUSAN NITA,P
JURI,L
FEBI GUSTARI,L
RIKI NELZON,L
TITING SUMARNINGSIH,P
SUWIRTO,L
HERI SUSANTO,L
KRENIWATI,P
MAGFIRA ANGGRAINI,P
REZKY RAHAYU PUTRI,P
YOGA MIRZA PRATAMA,L
ZAIDIN,L
MISLAINI,P
JAYUSMAN,L
SULASTRI,P
SAEFUDIN,L
LIANA,P
SUTINI,P
INDRA GUNAWAN,L
HERI APRIYANTO,L
JUMADI,L
SUBKI,L
SOPAH,P
FITRIA NINGSIH,P
JUNAIDI,L
SAMSUL BAHRI,L
ZAINAL,L
LENI OKTAVIA,P
JUMIATI,P
TRECYA HERTI MARYATI,P
NELLI ERISUSANTI,P
NELI SUMARSIH,P
VINCENTIUS GESANG SAMUDRA,L
MARIA ANGELA SYLVISTA SARI,P
ROSADELIMA TARIMANINGSIH,P
SUNARSIH,P
DEDI CHANDRA,L
ZAINUDDIN,L
MIARTI,P
DOFAN TAMPUBOLON,L
YEPERSON TAMPUBOLON,L
RODINA NAINGGOLAN,P
YETRI ELDA TAMPUBOLON,P
SAPARMAN JAYADI,L
ELVI SOFITA,P
DHENNY IMRON,L
SUARNO,L
WARSITO,L
DAHLIA JULITA,P
SUMARDIANSYAH,L
NIKEN MIRAHAYU,P
DIAN NOVIANI,P
AGUS ANDI YANTO,L
IUS FERRY SANJAYA. S,L
TERBI TAMPUBOLON,P
YOHANA ENJELINA SIMANJUNTAK,P
CHEPY INDRA SUKMANA,L
MARIA WINDA PAWESTRI,P
ANDREAS HENDRI LISTIANTO,L
NUR SUCIANTO,L
HERNI KAMARIAH,P
EFREDI SABIRIN,L
ANDREAS AGUNG PRASETYO,L
CHATARINA NGADIYEM,P
MONIKA RESTUNINGTYAS UTAMI,P
HITLER NAINGGOLAN,L
LINCE.S TAMBUNAN,P
WIWI ANGELA RAIMUNDA NAINGGOLAN,P
CICI LETISIA NAINGGOLAN,P
ENDIS SUNANDAR,L
ERWIN SAPUTRA,L
RAMMANI,P
KATHERINE MEYLANI OSWARI,P
FARIDA,P
SYAMSUL BAHRI,L
TONI HARDI,L
RAMLAN,P
MARLINA,P
RUSLIAN,L
SEPTI HARTINI,P
SELYA DESTAMA RUSLI,P
ANDAR EPAS SAMUDRO,L
HARYADI,L
YUSNIMAR,P
RINI PUSPITA,P
BUDI PRAYETNO,L
SURYANTI,P
JOKO SUSILO,L
PRATIWI OKTAVIANA,P
DEWI RIMBA,P
BENNY SAPUTRA,L
FEBRIEANSYAH CAHYA UTAMA,L
TURSINAWATI,P
BAGUS AJI RAMADHAN,L
ACHMAD SALEH,L
GITA ABI SUSENO,L
LENNY APRIL YANA,P
SUSANTI KARPENI,P
EWANG MULYANA,L
MIMI UTAMI,P
ENDO KERSANDONA,L
SUSYANTO,L
FADILA MUJAHIDAH,P
MAHMUDAH,P
RIANTO,L
DWI PURWANTO,L
SUDILAH,P
SARDIONO,L
SUKATNO,L
NGATIYEM,P
MUGIANTO,L
ELI ASTUTI,P
PAIDI,L
YAHMI,P
SUYANTO,L
PAINI,P
BUDI HARYANTO,L
YESMANITA JULIARTI,P
ATIKA HARDINI,P
TRIA APRIANI,L
TOMI APRIANJALU,L
AL HAZARI,L
DONAL  SE,L
NURHAYATI,P
LUSIANA,P
YAHUDA RININTHA WIJAYA,L
NIHARTI WARNIA,P
AGUS SULISTIONO,L
HABIB JUFRIKA ARIFANDI,L
MEIRISTA EKA ANDARINI,P
RAGAM SANTIKA PUTRA,L
BINTARA SANTIKA PUTRA,L
NONIH SANTIKA PERTIWI,P
SURYATI,P
SUPARJI,L
DWI ADHIYAKSA,L
ANDI NUR CAHYO,L
PATONAH,P
WILSON RANGKANG,L
DORTJE RANGKANG,P
MINCE RANGKANG,P
ERNI SARI,P
WINARNI,P
AMAR PERMADI,L
AMSY THOYIB BILKHAIR,L
ANGELINA ASTRID,P
ANTONIUS PARJO,L
AYU YULIA PURIMA,P
AZIZ HAMIDI,L
AZIZ SUHENDRI,L
DARMANTO,L
DETE KURNIAWAN SAPUTRA,L
DEWI KRISTIN NINGRUM,P
DIAH SUTRIANINGSIH,P
EKA AGUSTIN,P
EKO SUSANTO,L
ENDANG SETIYANINGSIH,P
EXVANTO,L
FITRI SETIANI,P
GUNAWAN,L
HENI WIJAYANTI,P
HOTIMAWATI,P
JAUHARI,L
JUMADI,L
KADENI,L
KARTIMAH,P
LIDIA LISTANTI,P
LIMAN,L
LISTIAH,P
LYA SEPPITASARI,P
MANTEB TUGIANTO,L
MARIANI,P
MARWANTO,L
MISROIN SALEH,L
MUHIMAH,P
MURDIATI,P
MURYONO,L
NASIATI,P
NOVIANDI,L
NURHAYATI,P
OCTAVIA DEWI. K,P
PAIDI,L
PAINI,P
RESEMPTUS SANJAYA SUJATMIKO,L
ROHAYANI,P
RULIA,P
S. ADHIKA SAPTA WINDU,L
SALMA DWI APRILIA,P
SALMAIDA,P
SARTINEM,P
SARTINI,P
SAYUTI,L
SOLIKHIN,L
SUDARMO,L
SUPARMAN,L
SUTRIATI,P
THOMAS SUYATNO,L
TRI MURDIYANTI,P
TUKIRAN,L
TUKIYEM,P
TULUS BASUKI,L
WARSINAH,P
WARYATI,P
WINA APRILIANI,P
Y. SRI SULASTRI,P
ZELPI,L
SYAHRIL,L
SURIYATI,P
RETNO PUTRA,L
TUTRIANI,P
MILA SUEIANI,P
MEILIZA CECILIA,P
SEPTI MELIANA,P
TOLIIN,L
HALIMAH,P
RISKI AYU SORAYA,P
ANDRI PUSPADIKRAMA,L
EEN,P
ISMAIL ABUNAWAR,L
SURYA BAKTI,L
ISMAIL,L
MUHAMMAD YUNUS,L
RUK HAYATI,P
A. RAHMAN SUPRIYADI,L
SURYATI,P
SIDI SAFRIZAL CHAN,L
M.RIZAL AKBAR PRATAMA,L
AYU WULANDARI,P
FOUNDHA YULIANA.A,P
MUHAMMAD SYOEKRI,L
ENDRI ALFIANSYAH,L
NADYA CLARITA BITA,P
YULIANAH,P
M. RIDHO ILHAMDI,L
YUSMANTORO,L
RINNY WULANDARI,P
HERIYANTO,L
SAFRIZAL,L
DWI JANARTO,L
FERA SUSANTI,P
IWAN S,L
DETI SUMARNI,P
TRI WIDODO,L
SUHERI LEKSONO,L
LILIS SOLIHAH,P
IBRAHIM SALEH,L
ALIVA,P
SOFYAN. A,L
SANTA DENI ARIIYANTO,L
SUSIYEM,P
MARLINDA SARI,P
RINI AGUSTINA,P
KRISWANTO,L
M. RIDWAN  A.MD,L
WAGINAH,P
IBNU HASYIM,L
SANIMAN,L
AZIS AMANUDIN,L
RUKOYAH,P
HUSNA ALFARIDA,P
M. QOSIM  BADRUN,L
KASTINI,P
SULAEHA,P
BAMBANG SUWITO,L
BOIRAH,P
HASMI SUYUTHI,L
DIAN SUSYLA,P
NADIA DWI FORTUNA,P
LOVINA PRIMADICA,P
HARZIM,L
YULI YANTI,P
RUKIYATI,P
KENNY STEWARD PUTRA,L
DALIMIN,L
MARIA NGATINEM,P
RISWAN,L
DETI SUMARNI,P
MUCHTAR,L
MEGAWATI,P
ISMIKO,L
ARIFIN,L
ROSMAWATI,P
ALWI HUSIN,L
MUH. SOFIAN,L
M. PARHAN,L
NUNUNG ROHANA,P
GUSNAYATI,P
DRS. H. YUDIAN RASYID,L
ABDUL WAHAB,L
ILHAM ARIFAH,L
YS. SARIBIN,L
SUPARTI,P
INDRA GUNAWAN,L
ELIANA,P
TUMINAH,P
YANUAR,L
FARIDA ARIYANI,P
LUVI SHERINA ARIYANI,P
RAHYO PRAYOGA,L
KRISTINA SRI SUNDARI,P
SUBIAT  S.PD,L
ENDANG IRIANTI,P
EDMUNDUS AGUS BARNAWI,L
FRANCISKA ASSISI SUTAMI,P
RICKI PRADITA,L
EDI ZUWARDI.AMD,L
M. IKHWAN CIPTADI,L
RIKA NOVADITA  SH,P
AMELIA PUSPITA REMASARI,P
REMANIA,P
SYARIFUDDIN,L
RIKO KOLLINKO,L
AMIRUDDIN DT. R.J. SAMPONO,L
MUFTI AMIR,L
ILAL HAMDI,L
ERNIWATI,P
SRI MELIYANI,P
FADJRIYANTO,L
M. HUSNI TAMRIN,L
ACHMAD ZUL ARIFIN,L
GITA ANDES KOBA,L
ACHMAD YULI,L
SRI HARTATI,P
NOVA TRI WAHYUNI,P
A. RAHMAN MARDIYANTO,L
HELMINA,P
SUTIAH S,P
ZULFIKAR  S.AG,L
HASNATUL SUMARNI S. AG,P
RAHMAD,L
SANI,P
RAMA AMIR,L
RUSIAN EFFENDI,L
NURJANAH,P
ANJAS ASMARA,L
TUMINAH,P
CAHYANI,P
MARSELINUS JUNI SWALADI,L
CORNELIUS ANGGA WIDIPRASETYO,L
BIRGITTA AI HUA,P
IMA CULATA SULARSIH,P
ANHAR,L
NUR JANATI,P
RAHMAWATI,P
UJANG DAHWARI,L
DUTHA AGUNG PRATAMA,L
ZULYANI,P
ABDILLAH,L
RUSPITA HERAWATI,P
MIJANTO,L
TRI ARIANSYAH,L
DARYANTI,P
HASNUL BADRI,L
MURTANI,P
NURHIDAYATI,P
RAHMAD JUNARIA,L
SUSI RAHAYU,P
NENENG KURNIASIH,P
YORDAN YONG. T. WIDIARTOYO,L
YOHANES SINGGA,L
FRANSISKA RATRI WIDIANA,P
YOSEF MARIA VIANI,P
AMIN ABDUL MAJID,L
MASRIKAN,L
NURHASANAH,P
MARSIYEM,P
SITI FATHONAH,P
ALWI ABDULLAH,L
KASIMIN,L
RAMLAN,L
SYARKOWI,L
SITI MASINAH,P
HERI KISWANTO,L
YANTO,L
RAMADANI,L
TONI SUSANTO,L
AGUSNI,P
YUNAIDI,L
HERAWATI,P
AMRIN MUNTHAHA,L
ELDA EFRIANI NABABAN,P
FREDI AGANIS,L
ASMANIAR,P
HASNAH,P
AMIR RUDIN,L
DARWIN,L
EKO DARMANSYAH,L
M. YUSUF ALFAEZI,L
DESMAWATI,P
DWI ULFA MAHARANI,P
AFANDI,L
SITI SARIFAH,P
DODY FAISAL,L
LUSIANA,P
ERLITA,P
RINO ISWANDI,L
NINI FITRIYANTI,P
SUKARI,P
DIAH WITARI,P
ANDRI,L
KARMI,P
NIA GUSTINA,P
MUTIARA WULANDARI,P
SUHEMI,P
NOVA HERIL YANTIKA,L
ARIFIN,L
MASYARAM HANIFFAH,P
MARNO,L
MARLINDA,P
NURJANA,P
JESSIKA CANDRA UTAMI,P
ROFIKA ARUM SUKMAWENTI,P
TIMIN AGUSYANTO,L
SAHIDAH,P
ASRIYANTO,L
SUTINAH,P
MUHAMMAD ILHAM ELFANDI,L
ELA PEBI JULIANTI,P
MASTJIK,L
RUSDI KAUM,L
FARA KURNIA R.K,P
QIFFAHTUN NIKMA,P
MASNUN MARDIKA,P
ARMAN YULIANSYAH,L
RIKA ISMAWATI,P
NONA PUSPITA SARI,P
DODI SATRIA,L
TARMIZI,L
SYAFRI YANTI,P
TRIO IRAWAN,L
ZUL KARNEDI,L
MULYANA,P
AYU YUNI SAPITRI,P
JULI SOPIAN,L
APRIZON,L
SARI AINI,P
SUTAN KARIM,L
AGUSMAN,L
NASRUL,L
ELMAS,P
DARWANSYAH  AMD,L
IPAN DWIPURA,L
BAINIS  S.PD,P
INTAN FEBRIAN,P
DENI SAPUTRA,L
AGUSTINI,P
MARDA LENA,P
ANI SURYAWATI,P
M. RONI PASLAH,L
NITA ERIA,P
NAZRAL,L
SUSI MAYA SARI,P
RAHMAT SANJAYA,L
HASAN BASRI,L
ADNIN ALIR,L
EDI HAPAZO,L
FERAWATI,P
ERAWAN TRIJAYA N,L
LUSIANA MORINA PANJAITAN,P
DANIEL SETIAWAN PANJAITAN,L
BISTOK PANJAITAN,L
UDUR BR SILAEN,P
NIA,P
NURDIANSYAH,L
NURBAITI,P
SELVI PRAMITA,P
LAGIYEM,P
JON KANEDI,L
JAMILAH,P
M. RIZALDY,L
UPIK DYAH. E,P
HARI RIANTO,L
BASTIAN,L
VITRIYANA,P
FERRY AFRIANSYAH,L
